Change component parameters: Designator = "P1"; Footprint = "HDR2X3_CEN"; UniqueID = "\YEVBPUQE"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "XS1"; Footprint = "HDR1X4 - WA"; UniqueID = "\PPLQNLNH"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "—‡ÈÚ ÔÓËÁ‚Ó‰ËÚÂÎˇ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "√‰Â ÍÛÔËÚ¸?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "PLS-4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "–‡Á˙∏Ï"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "Õ‡Á‚‡ÌËÂ"; VariantName = "[No Variations]"
Change component parameters: Designator = "XS2"; Footprint = "20SIN"; UniqueID = "\CJACQLHF"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "—‡ÈÚ ÔÓËÁ‚Ó‰ËÚÂÎˇ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "√‰Â ÍÛÔËÚ¸?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "PLS-20"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "–‡Á˙∏Ï"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "Õ‡Á‚‡ÌËÂ"; VariantName = "[No Variations]"
Change component parameters: Designator = "XS3"; Footprint = "20SIN"; UniqueID = "\CNPDRTLI"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "—‡ÈÚ ÔÓËÁ‚Ó‰ËÚÂÎˇ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "√‰Â ÍÛÔËÚ¸?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "PLS-20"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "–‡Á˙∏Ï"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "Õ‡Á‚‡ÌËÂ"; VariantName = "[No Variations]"
Change component parameters: Designator = "LD1"; Footprint = "LED_DIALIGHT_597-3111-507F"; UniqueID = "\LBDJBRMU"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Bonding"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Color"; Value = "Red"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentHeight"; Value = "1.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CreateDate"; Value = "26.10.2011"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\LED_DIALIGHT_597-3111-507F.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "26.10.2011"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "DIALIGHT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "597-3111-507F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "SMT AlGaAs Red LED,Body 3x1.6mm (1208),  DIALIGHT 597 Serie"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Description"; Value = "SMT AlGaAs Red LED, 597 Series"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "LED_DIALIGHT_597-3111-507F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PressFit"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Change component parameters: Designator = "LD2"; Footprint = "LED_DIALIGHT_597-3111-507F"; UniqueID = "\TFNPOQTS"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Author"; Value = "CERN DEM JLC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Bonding"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Color"; Value = "Red"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentHeight"; Value = "1.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CreateDate"; Value = "26.10.2011"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\LED_DIALIGHT_597-3111-507F.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "26.10.2011"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "DIALIGHT"; VariantName = "[No Variations]"
